Floor,Building,"Owner Association",Description,"Property Number","Property Type"
,6,1,,P1-112,UNIT
,6,1,,P1-63,UNIT
,6,1,,P1-92,UNIT
,6,1,,P1-61,UNIT
,6,1,,P1-115,NA
,6,1,,B4-174,NA
,6,1,,P1-67,UNIT
,6,1,,P1-95,UNIT
,6,1,,P2-111,UNIT
,6,1,,B1-67,UNIT
,6,1,,B1-136,UNIT
,6,1,,P1-62,UNIT
,6,1,,B1-143,UNIT
,6,1,,B1-168,UNIT
,6,1,,15F-A-05,UNIT
,6,1,,16F-A-06,UNIT
,6,1,,2F-A-02,UNIT
,6,1,,3F-A-01,UNIT
,6,1,,3F-A-03,UNIT
,6,1,,3F-A-04,UNIT
,6,1,,4F-A-01,UNIT
,6,1,,4F-A-04,UNIT
,6,1,,8F-A-03,UNIT
,6,1,,9F-A-03,UNIT
,6,1,,GF-R6,UNIT
,6,1,,P3-A-08,UNIT
,6,1,,P3-B-03,UNIT
,6,1,,12F-B-04,UNIT
,6,1,,12F-B-06,UNIT
,6,1,,13F-B-02,UNIT
,6,1,,16F-B-01,UNIT
,6,1,,16F-B-05,UNIT
,6,1,,1F-B-01,UNIT
,6,1,,1F-B-R1,UNIT
,6,1,,2F-B-02,UNIT
,6,1,,2F-B-03,UNIT
,6,1,,4F-B-03,UNIT
,6,1,,6F-B-04,UNIT
,6,1,,7F-B-04,UNIT
,6,1,,8F-B-04,UNIT
,6,1,,9F-B-01,UNIT
,6,1,,9F-B-04,UNIT
,6,1,,B1-144,UNIT
,6,1,,B1-155,UNIT
,6,1,,P1-42,UNIT
,6,1,,P1-57,UNIT
,6,1,,P1-66,UNIT
,6,1,,B1-68,UNIT
,6,1,,P1-97,UNIT
,6,1,,B1-148,UNIT
,6,1,,P1-44,UNIT
,6,1,,P1-47,UNIT
,6,1,,P2-116,NA
,6,1,,B1-118,UNIT
,6,1,,B4-194,NA
,6,1,,P2-112,UNIT
,6,1,,B1-4,UNIT
,6,1,,P1-50,UNIT
,6,1,,P1-110,UNIT
,6,1,,P1-111,UNIT
,6,1,,11F-A-01,UNIT
,6,1,,11F-A-04,UNIT
,6,1,,13F-A-01,UNIT
,6,1,,14F-A-01,UNIT
,6,1,,14F-A-02,UNIT
,6,1,,16F-A-05,UNIT
,6,1,,1F-A-R1,UNIT
,6,1,,5F-A-01,UNIT
,6,1,,8F-A-04,UNIT
,6,1,,9F-A-04,UNIT
,6,1,,GF-R10A,UNIT
,6,1,,GF-R7,UNIT
,6,1,,P3-B-02,UNIT
,6,1,,11F-B-03,UNIT
,6,1,,11F-B-05,UNIT
,6,1,,13F-B-03,UNIT
,6,1,,15F-B-03,UNIT
,6,1,,16F-B-03,UNIT
,6,1,,1F-B-02,UNIT
,6,1,,2F-B-05,UNIT
,6,1,,4F-B-06,UNIT
,6,1,,5F-B-06,UNIT
,6,1,,8F-B-03,UNIT
,6,1,,P1-124,UNIT
,6,1,,B1-127,UNIT
,6,1,,B1-156,UNIT
,6,1,,P1-87,UNIT
,6,1,,B1-129,UNIT
,6,1,,B1-135,UNIT
,6,1,,B1-138,UNIT
,6,1,,B1-114,UNIT
,6,1,,B1-116,UNIT
,6,1,,B1-119,UNIT
,6,1,,B1-147,UNIT
,6,1,,B2-204,UNIT
,6,1,,P1-122,UNIT
,6,1,,B1-112,UNIT
,6,1,,B1-134,UNIT
,6,1,,B1-158,NA
,6,1,,B3-135,NA
,6,1,,P1-84,UNIT
,6,1,,P1-118,UNIT
,6,1,,10F-A-02,UNIT
,6,1,,16F-A-03,UNIT
,6,1,,1F-A-02,UNIT
,6,1,,2F-A-03,UNIT
,6,1,,2F-A-05,UNIT
,6,1,,3F-A-05,UNIT
,6,1,,4F-A-06,UNIT
,6,1,,5F-A-02,UNIT
,6,1,,7F-A-01,UNIT
,6,1,,7F-A-06,UNIT
,6,1,,8F-A-01,UNIT
,6,1,,8F-A-05,UNIT
,6,1,,9F-A-05,UNIT
,6,1,,GF-R1,UNIT
,6,1,,GF-R12,UNIT
,6,1,,GF-R14,UNIT
,6,1,,GF-R4,UNIT
,6,1,,P3-A-03,UNIT
,6,1,,P3-A-04,UNIT
,6,1,,P3-A-09,UNIT
,6,1,,P3-B-01,UNIT
,6,1,,P3-B-04,UNIT
,6,1,,12F-B-02,UNIT
,6,1,,12F-B-05,UNIT
,6,1,,13F-B-01,UNIT
,6,1,,13F-B-06,UNIT
,6,1,,14F-B-01,UNIT
,6,1,,14F-B-04,UNIT
,6,1,,2F-B-06,UNIT
,6,1,,3F-B-02,UNIT
,6,1,,3F-B-05,UNIT
,6,1,,5F-B-02,UNIT
,6,1,,6F-B-02,UNIT
,6,1,,7F-B-06,UNIT
,6,1,,8F-B-01,UNIT
,6,1,,B1-124,UNIT
,6,1,,B2-113,UNIT
,6,1,,B1-154,UNIT
,6,1,,B3-179,NA
,6,1,,B3-180,NA
,6,1,,B1-111,UNIT
,6,1,,B1-115,UNIT
,6,1,,B1-137,UNIT
,6,1,,P1-37,UNIT
,6,1,,P1-94,UNIT
,6,1,,B1-2,UNIT
,6,1,,B1-29,NA
,6,1,,B1-140,UNIT
,6,1,,P1-121,UNIT
,6,1,,B1-3,UNIT
,6,1,,B4-126,NA
,6,1,,P2-113,UNIT
,6,1,,B1-170,UNIT
,6,1,,B2-111,UNIT
,6,1,,B2-180,NA
,6,1,,B1-141,UNIT
,6,1,,B1-166,UNIT
,6,1,,P2-118,NA
,6,1,,10F-A-03,UNIT
,6,1,,12F-A-03,UNIT
,6,1,,13F-A-03,UNIT
,6,1,,14F-A-06,UNIT
,6,1,,15F-A-01,UNIT
,6,1,,15F-A-02,UNIT
,6,1,,15F-A-03,UNIT
,6,1,,15F-A-06,UNIT
,6,1,,2F-A-04,UNIT
